Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
47,SHA-512,0,8505,TRUE,0.686703682,5.71875,0,0.000117643
47,SHA-256,0,8503,TRUE,0.679821014,4.9375,0,0.00011766
47,SHA-3-512,0.000994444,8502,TRUE,0.712690592,5.90625,0,0.000117687
47,MD5,0,8502,TRUE,0.711781263,4,0,0.000117661
48,SHA-3-256,0.000983953,8501,TRUE,0.720322609,4.8125,0,0.000117686
48,SHA-512,0,8501,TRUE,0.688766479,5.71875,0,0.000117699
48,SHA-256,0.001008987,8500,TRUE,0.714687824,4.9375,0,0.000117702
48,SHA-3-512,0,8502,TRUE,0.680724144,5.90625,0,0.000117687
48,MD5,0,8501,TRUE,0.811301231,4,0,0.000117675
49,SHA-3-256,0,8502,TRUE,0.686783314,4.8125,0,0.000117672
49,SHA-512,0,8502,TRUE,0.683789492,5.71875,0,0.000117685
49,SHA-256,0,8501,TRUE,0.698737144,4.9375,0,0.000117688
49,SHA-3-512,0,8502,TRUE,0.6827178,5.90625,0,0.000117687
49,MD5,0,8501,TRUE,0.655880451,4,0,0.000117675
50,SHA-3-256,0,8504,TRUE,0.684710741,4.8125,0,0.000117644
50,SHA-512,0,8501,TRUE,0.7156775,5.71875,0,0.000117699
50,SHA-256,0,8500,TRUE,0.688697577,4.9375,0,0.000117702
50,SHA-3-512,0,8503,TRUE,1.003473997,5.90625,0,0.000117673
50,MD5,0.001012802,8501,TRUE,0.708987713,4,0,0.000117675
51,SHA-3-256,0,8501,TRUE,0.736033678,4.8125,0,0.000117686
51,SHA-512,0.001006365,8503,TRUE,0.681719542,5.71875,0,0.000117671
51,SHA-256,0.000997066,8501,TRUE,0.687648535,4.9375,0,0.000117688
51,SHA-3-512,0,8502,TRUE,0.710698605,5.90625,0,0.000117687
51,MD5,0,8501,TRUE,0.687705278,4,0,0.000117675
52,SHA-3-256,0,8504,TRUE,0.773822308,4.8125,0,0.000117644
52,SHA-512,0,8502,TRUE,0.685709715,5.71875,0,0.000117685
52,SHA-256,0,8503,TRUE,0.684710741,4.9375,0,0.00011766
52,SHA-3-512,0,8502,TRUE,0.688697815,5.90625,0,0.000117687
52,MD5,0.000996113,8501,TRUE,0.698740721,4,0,0.000117675
53,SHA-3-256,0,8502,TRUE,0.68379283,4.8125,0,0.000117672
53,SHA-512,0,8502,TRUE,0.711619616,5.71875,0,0.000117685
53,SHA-256,0,8501,TRUE,0.683713913,4.9375,0,0.000117688
53,SHA-3-512,0,8500,TRUE,0.688141108,5.90625,0,0.000117715
53,MD5,0.000996113,8501,TRUE,0.6827178,4,0,0.000117675
54,SHA-3-256,0,8502,TRUE,0.690693855,4.8125,0,0.000117672
54,SHA-512,0.000994205,8501,TRUE,0.693794489,5.71875,0,0.000117699
54,SHA-256,0.000996828,8501,TRUE,0.696753025,4.9375,0,0.000117688
54,SHA-3-512,0,8503,TRUE,0.704443932,5.90625,0,0.000117673
54,MD5,0.000997543,8502,TRUE,0.690698385,4,0,0.000117661
55,SHA-3-256,0,8504,TRUE,0.695743799,4.8125,0,0.000117644
55,SHA-512,0.001015902,8501,TRUE,0.68679142,5.71875,0,0.000117699
55,SHA-256,0,8502,TRUE,0.700657368,4.9375,0,0.000117674
55,SHA-3-512,0.000997543,8504,TRUE,0.721590996,5.90625,0,0.00011766
55,MD5,0.000996351,8500,TRUE,0.714353323,4,0,0.000117689
56,SHA-3-256,0,8504,TRUE,0.723579645,4.8125,0,0.000117644
56,SHA-512,0,8500,TRUE,0.683713913,5.71875,0,0.000117712
56,SHA-256,0.00099659,8502,TRUE,0.692683697,4.9375,0,0.000117674
56,SHA-3-512,0,8504,TRUE,0.688703775,5.90625,0,0.00011766
56,MD5,0,8500,TRUE,0.759051561,4,0,0.000117689
57,SHA-3-256,0,8502,TRUE,0.685706854,4.8125,0,0.000117672
57,SHA-512,0.000996351,8503,TRUE,0.689764738,5.71875,0,0.000117671
57,SHA-256,0.000996351,8501,TRUE,0.702557564,4.9375,0,0.000117688
57,SHA-3-512,0,8500,TRUE,0.773919821,5.90625,0,0.000117715
57,MD5,0,8501,TRUE,0.719185829,4,0,0.000117675
58,SHA-3-256,0,8501,TRUE,0.711693287,4.8125,0,0.000117686
58,SHA-512,0,8501,TRUE,0.684717894,5.71875,0,0.000117699
58,SHA-256,0.000986814,8502,TRUE,0.66902709,4.9375,0,0.000117674
58,SHA-3-512,0,8500,TRUE,0.684711218,5.90625,0,0.000117715
58,MD5,0.000997543,8503,TRUE,0.799062252,4,0,0.000117647
59,SHA-3-256,0,8501,TRUE,0.711695433,4.8125,0,0.000117686
59,SHA-512,0,8502,TRUE,0.764064789,5.71875,0,0.000117685
59,SHA-256,0.000994205,8502,TRUE,0.689689636,4.9375,0,0.000117674
59,SHA-3-512,0,8503,TRUE,0.757294893,5.90625,0,0.000117673
59,MD5,0.000997782,8503,TRUE,0.688451767,4,0,0.000117647
60,SHA-3-256,0,8503,TRUE,0.782530546,4.8125,0,0.000117658
60,SHA-512,0,8503,TRUE,0.739696503,5.71875,0,0.000117671
60,SHA-256,0.000996351,8503,TRUE,0.718537092,4.9375,0,0.00011766
60,SHA-3-512,0.00099659,8502,TRUE,0.659814835,5.90625,0,0.000117687
60,MD5,0.000994444,8502,TRUE,0.771649361,4,0,0.000117661
61,SHA-3-256,0.000993967,8504,TRUE,0.693772078,4.8125,0,0.000117644
61,SHA-512,0.000996351,8501,TRUE,0.79517746,5.71875,0,0.000117699
61,SHA-256,0.000997066,8502,TRUE,0.686634302,4.9375,0,0.000117674
61,SHA-3-512,0,8504,TRUE,0.739835501,5.90625,0,0.00011766
61,MD5,0.000997305,8502,TRUE,0.78345418,4,0,0.000117661
62,SHA-3-256,0,8502,TRUE,0.737234354,4.8125,0,0.000117672
62,SHA-512,0,8503,TRUE,0.682790995,5.71875,0,0.000117671
62,SHA-256,0,8500,TRUE,0.819561481,4.9375,0,0.000117702
62,SHA-3-512,0,8502,TRUE,0.68770051,5.90625,0,0.000117687
62,MD5,0,8501,TRUE,0.686705589,4,0,0.000117675
63,SHA-3-256,0,8501,TRUE,0.684706211,4.8125,0,0.000117686
63,SHA-512,0,8502,TRUE,0.681720734,5.71875,0,0.000117685
63,SHA-256,0.00099659,8501,TRUE,0.692686319,4.9375,0,0.000117688
63,SHA-3-512,0,8502,TRUE,0.748754263,5.90625,0,0.000117687
63,MD5,0,8503,TRUE,0.686693192,4,0,0.000117647
64,SHA-3-256,0,8502,TRUE,0.680724382,4.8125,0,0.000117672
64,SHA-512,0,8502,TRUE,0.686693668,5.71875,0,0.000117685
64,SHA-256,0.001169205,8502,TRUE,0.707564592,4.9375,0,0.000117674
64,SHA-3-512,0,8501,TRUE,0.686481714,5.90625,0,0.000117701
64,MD5,0.000995636,8500,TRUE,0.68478632,4,0,0.000117689
65,SHA-3-256,0,8503,TRUE,0.691176653,4.8125,0,0.000117658
65,SHA-512,0.000767231,8501,TRUE,0.684710741,5.71875,0,0.000117699
65,SHA-256,0,8502,TRUE,0.731235743,4.9375,0,0.000117674
65,SHA-3-512,0.00110364,8501,TRUE,0.692757845,5.90625,0,0.000117701
65,MD5,0,8502,TRUE,0.671844959,4,0,0.000117661
66,SHA-3-256,0,8503,TRUE,0.681720734,4.8125,0,0.000117658
66,SHA-512,0,8500,TRUE,0.681720734,5.71875,0,0.000117712
66,SHA-256,0,8501,TRUE,0.717075825,4.9375,0,0.000117688
66,SHA-3-512,0,8500,TRUE,0.692834377,5.90625,0,0.000117715
66,MD5,0.00099802,8505,TRUE,0.718666792,4,0,0.000117619
67,SHA-3-256,0,8503,TRUE,0.715682745,4.8125,0,0.000117658
67,SHA-512,0,8502,TRUE,0.750131607,5.71875,0,0.000117685
67,SHA-256,0.001030207,8501,TRUE,0.687777281,4.9375,0,0.000117688
67,SHA-3-512,0.000996351,8505,TRUE,0.684713364,5.90625,0,0.000117646
67,MD5,0,8501,TRUE,0.686435461,4,0,0.000117675
68,SHA-3-256,0,8501,TRUE,0.761378765,4.8125,0,0.000117686
68,SHA-512,0.000980854,8507,TRUE,0.729282618,5.71875,0,0.000117615
68,SHA-256,0,8500,TRUE,0.687773705,4.9375,0,0.000117702
68,SHA-3-512,0.000996351,8504,TRUE,0.683714151,5.90625,0,0.00011766
68,MD5,0.001015186,8500,TRUE,0.688499928,4,0,0.000117689
69,SHA-3-256,0,8501,TRUE,0.687773705,4.8125,0,0.000117686
69,SHA-512,0.000996828,8505,TRUE,0.627900362,5.71875,0,0.000117643
69,SHA-256,0,8501,TRUE,0.719754696,4.9375,0,0.000117688
69,SHA-3-512,0.000997066,8501,TRUE,0.699660778,5.90625,0,0.000117701
69,MD5,0,8502,TRUE,0.687698841,4,0,0.000117661
70,SHA-3-256,0.001004219,8503,TRUE,0.741450787,4.8125,0,0.000117658
70,SHA-512,0.00099206,8503,TRUE,0.711695433,5.71875,0,0.000117671
70,SHA-256,0,8502,TRUE,0.680714369,4.9375,0,0.000117674
70,SHA-3-512,0,8501,TRUE,0.711711645,5.90625,0,0.000117701
70,MD5,0,8503,TRUE,0.675671816,4,0,0.000117647
71,SHA-3-256,0.000997305,8501,TRUE,0.828655005,4.8125,0,0.000117686
71,SHA-512,0,8506,TRUE,0.692684174,5.71875,0,0.000117629
71,SHA-256,0.00099659,8501,TRUE,0.826948881,4.9375,0,0.000117688
